title,link,snippet
Zero-shot Object Classification with Large-scale Knowledge Graph,https://openaccess.thecvf.com/content/CVPR2023W/L3D-IVU/html/Shiba_Zero-Shot_Object_Classification_With_Large-Scale_Knowledge_Graph_CVPRW_2023_paper.html,Zero-shot learning is used to predict unseen categories and can solve problems such as dealing with unseen categories that were not anticipated at the time of training and the lack …
Multimodal Semantic Fusion for Zero-Shot Learning,https://ieeexplore.ieee.org/abstract/document/10688093/,Zero-shot learning (ZSL) aims to predict classes that have never appeared in the training stage. The key to addressing those unseen classes is to transfer knowledge from seen …
Understanding substructures in commonsense relations in conceptnet,https://arxiv.org/abs/2210.01263,"Acquiring commonsense knowledge and reasoning is an important goal in modern NLP research. Despite much progress, there is still a lack of understanding (especially at scale) …"
Zero-shot fine-grained entity typing in information security based on ontology,https://www.sciencedirect.com/science/article/pii/S0950705121007346,"The field of information security suffers from the lack of labelled entities. This study proposes a zero-shot hybrid approach, combining a clustering algorithm with a method for …"
Top2Label: Explainable zero shot topic labelling using knowledge graphs,https://www.sciencedirect.com/science/article/pii/S0957417423031780,"Automatic topic labelling aims to generate coherent, interpretable, and meaningful labels to facilitate the interpretation of various topics within a corpus of documents. Typically, we …"
TAGLETS: A system for automatic semi-supervised learning with auxiliary data,https://proceedings.mlsys.org/paper_files/paper/2022/hash/294f82c43d69f66c04440cbb2740e52d-Abstract.html,"Abstract Machine learning practitioners often have access to a spectrum of data: labeled data for the target task (which is often limited), unlabeled data, and auxiliary data, the many …"
面向图神经网络的知识图谱嵌入研究进展.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16739418&AN=169862325&h=%2F%2B6ukx2i407qWBAdunqi1vYoFizsMy%2Fn%2BqAHIxDuS%2Fcnbx5jdnLI9ZYUoBz9jiV64bCDgYdnLik0LLhchLOJ3Q%3D%3D&crl=c,"随着图神经网络的发展, 基于图神经网络的知识图谱嵌入方法日益受到研究人员的关注. 相比传统的方法, 它可以更好地处理实体的多样性和复杂性, 并捕捉实体的多重特征和复杂关系 …"
Semantic matching for text classification with complex class descriptions,https://aclanthology.org/2023.emnlp-main.475/,"Text classifiers are an indispensable tool for machine learning practitioners, but adapting them to new classes is expensive. To reduce the cost of new classes, previous work exploits …"
ProZe: Explainable and Prompt-Guided Zero-Shot Text Classification,https://ieeexplore.ieee.org/abstract/document/9822405/,"As technology accelerates the generation and communication of textual data, the need to automatically understand this content becomes a necessity. In order to classify text, being it …"
Integrating Noisy Knowledge into Language Representations for E-Commerce Applications,https://ieeexplore.ieee.org/abstract/document/10386615/,Integrating structured knowledge into language model representations increases recall of domain-specific information useful for downstream tasks. Matching between knowledge …
Shifted Window Based Self-Attention via Swin Transformer for Zero-Shot Learning,no_link,
Knowledge Relevance BERT: Integrating Noisy Knowledge into Language Representations,https://knowledge-nlp.github.io/aaai2023/papers/005-KRBERT-oral.pdf,Integrating structured knowledge into language model representations increases recall of domain-specific information useful for downstream tasks. Matching between knowledge …
実世界へ挑む機械学習,http://www.nlab.ci.i.u-tokyo.ac.jp/pdf/ieice2021ml.pdf,"現在の機械学習の成功を支える中心的なアプローチである教師あり学習では, 対象とするタスクの入出力関係を網羅した大規模なラベル付き訓練データセットの存在を前提とする …"
